pot_id,pot_label,short_label,photo_order,photo_group,photo_position,blocked_order,photo_group_label,randomised_mapping,mapping_source,temperature_code,bench,temperature_regime,replicate,variety_code,variety_name,disease_code,disease_class,fertiliser_code,fertiliser_level,watering_rule,inoculation_stage,notes
POC-024,22_POC-024_NF_Gr_H_R2,22_POC-024,24,2,8,22,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V4,Granite CL,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-025,25_POC-025_NF_Ma_H_R3,25_POC-025,25,2,9,25,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V1,Maximus CL,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-026,32_POC-026_NF_Pl_H_R3,32_POC-026,26,2,10,32,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V2,RGT Planet,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-027,27_POC-027_NF_Ro_H_R3,27_POC-027,27,2,11,27,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V3,Rosalind,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-028,26_POC-028_NF_Gr_H_R3,26_POC-028,28,2,12,26,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V4,Granite CL,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-029,24_POC-029_NF_Ma_H_R4,24_POC-029,29,2,13,24,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V1,Maximus CL,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-030,23_POC-030_NF_Pl_H_R4,23_POC-030,30,2,14,23,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V2,RGT Planet,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-031,20_POC-031_NF_Ro_H_R4,20_POC-031,31,2,15,20,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V3,Rosalind,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-032,29_POC-032_NF_Gr_H_R4,29_POC-032,32,2,16,29,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V4,Granite CL,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-033,36_POC-033_SF_Ma_H_R1,36_POC-033,33,3,1,36,Spot form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V1,Maximus CL,SFNB,Spot form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-034,35_POC-034_SF_Pl_H_R1,35_POC-034,34,3,2,35,Spot form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V2,RGT Planet,SFNB,Spot form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-035,37_POC-035_SF_Ro_H_R1,37_POC-035,35,3,3,37,Spot form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V3,Rosalind,SFNB,Spot form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-036,33_POC-036_SF_Gr_H_R1,33_POC-036,36,3,4,33,Spot form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V4,Granite CL,SFNB,Spot form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-037,38_POC-037_SF_Ma_H_R2,38_POC-037,37,3,5,38,Spot form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V1,Maximus CL,SFNB,Spot form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-038,42_POC-038_SF_Pl_H_R2,42_POC-038,38,3,6,42,Spot form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V2,RGT Planet,SFNB,Spot form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
